collection,resource,theme_en,theme_es,indicator,label_en,label_es,description_en,description_es,valuetype
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,miembro6_ch,Percentage of households with at least one member aged 0-5,Porcentaje de hogares con al menos un miembro de 0-5 años,Percentage of households with at least one child between 0 and 5 years. This indicator only considers household members.,Porcentaje de hogares con al menos un niño entre los 0 y 5 años de edad. Este indicador sólo considera a los miembros del hogar.,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,jefaecon_ch,Percentage of households with female economic heads,Porcentaje de hogares con jefatura económica femenina,"Percentage of households in which a woman has the highest total individual income. This indicator only considers household members. In case of not being able to define who has a higher income, the economic head will be the one who has been declared as head of the household.","Porcentaje de hogares en los que una mujer tiene los ingresos individuales totales más altos. Este indicador sólo considera a los miembros del hogar. En caso de no poder definir quién tiene una ingreso mayor, el jefe economico será quien haya sido declarado como jefe del hogar.",pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,jefa_ch,Percentage head-of-household women,Porcentaje de hogares con jefatura femenina,Percentage of a household that reports a woman like a head-of-household woman.,Porcentaje de hogares en los que se declara a una mujer como jefe de hogar.,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,depen_ch,"
Dependency ratio",Razón de dependencia,"
Number of household members by the number of income earners",Número de miembros del hogar entre el número de perceptores de ingreso,dispersion
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,corres_ch,Percentage of co-resident households,Porcentaje de hogares corresidentes,Percentage of households in which the members are no related to the head-of-household (eg. individuals who share a home).,Porcentaje de hogares en los que ningún miembro tiene parentesco con el jefe de hogar (ej: individuos que comparten una vivienda). ,pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,comp_ch,Percentage of composite households,Porcentaje de hogares compuestos,"Percentage of households made up of the head-of-household, a relative of the head, and a non-related member of the head.","Porcentaje de hogares compuestos por el jefe de hogar, un pariente del jefe y un miembro NO pariente del jefe. ",pct
Household Socio-Economic Surveys,Household Survey Indicators,demography,demografia,ampl_ch,Percentage of extended family,Porcentaje de hogares ampliados,"Percentage of households made up of a nuclear household and other relatives, or the head-of- household and a relative. A necessary condition is that no other members, not relatives of the head-of-household, are present.","Porcentaje de hogares formados por un hogar nuclear y otros parientes, o el jefe de hogar y un pariente. Una condición necesaria es que no estén presentes otros miembros NO parientes del jefe. ",pct
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,pnoafronoindi_ci,Percentage of non-afro and non-indigenous population ,Porcentaje de población ni Afrodescendiente ni indígena,Percentage of people that do not self-identify as either Afro-descendants or indigenous ,Porcentaje de personas que no se auto-identifican como afrodescendients o indígenas ,pct
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,pjefe_noafronoindi_ch,Percentage of households with non-afro and non-indigenous household head ,Porcentaje de hogares con jefatura ni afrodescendiente ni indígena,Percentage of households where the household head does not self-identify as Afro-descendant or indigenous ,Porcentaje de hogares donde el jefe de hogar no se auto-identifica como afrodescendiente o indígena ,pct
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,pjefe_indi_ch,Percentage of households with indigenous household head ,Porcentaje de hogares con jefatura indígena,Percentage of households where the household head self-identifies as indigenous,Porcentaje de hogares donde el jefe de hogar se auto-identifica como indígena ,pct
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,pjefe_afro_ch,Percentage of households with Afro-descendant household head ,Porcentaje de hogares con jefatura afrodescendiente,Percentage of households where the household head self-identifies as Afro-descendant ,Porcentaje de hogares donde el jefe de hogar se auto-identifica como afrodescendiente ,pct
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,pindi_ci,Percenage of indigenous population,Porcentaje de población indígena,Percentage of people that self-identify as indigenous based on the national classification ,Porcentaje de personas que se auto-identifican como indígenas según la clasificación nacional ,pct
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,pdis_ci,Percentage of people that report having some difficulty with daily life activities ,Porcentaje de personas que reportan tener alguna dificultad en actividades de la vida diaria,Percentage of people that report having at least some difficulty with daily life activities based on the domains of the Washington Group Questions ,Porcentaje de personas que reportan tener al menos alguna dificultad con actividades de la vida diaria según los dominios de las preguntas del Washington Group ,pct
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,pdis_ch,Percentage of households with members that report having some difficulty with daily life activities ,Porcentaje de hogares con miembros que reportan tener alguna dificultad en realizar actividades de la vida diaria,Percentage of households with at least one member that reports having at least some difficulty with daily life activities based on the Washington Group questions ,Porcentaje de hogares con al menos un miembro que reporta por lo menos alguna dificultad con actividades de la vida diaria según las preguntas del Washington Group,pct
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,pafro_ci,Percentage of Afro-descendant population,Porcentaje de población afrodescendiente,Percentage of people that self-identify as Afro-descendant based on the national classification ,Porcentaje de personas que se auto-identifican como afrodescendientes según la clasificación del país ,pct
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,nnoafronoindi_ci,Non-afro and non-indigenous population ,Número de personas ni Afrodescendiente ni indígena,Number of people that do not self-identify as either Afro-descendants or indigenous based on the national classification,Número de personas que no se auto-identifican como afrodescendientes o indígenas según la clasificación del país,level
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,nindi_ci,Indigenous population,Número de indígenas,Number of people that self-identify as indigenous based on the national classification ,Número de personas que se auto-identifican como indígenas según la clasificación del país,level
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,nafro_ci,Afro-descendant population,Número de afrodescendientes,Number of people that self-identify as Afro-descendant based on the national classification ,Número de personas que se auto-identifican como afrodescendientes según la clasificación del país ,level
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,p_poblacion,Share of population by age group,Proporción de personas por grupos etarios,Percentage of population in each age group,Porcentaje de la población en cada grupo etário,pct
Household Socio-Economic Surveys,Household Survey Indicators,diversity,diversidad,n_poblacion,Total population by age group,Población total por grupos etarios,Number of people in each age group,Número de personas en cada grupo etário,level
Household Socio-Economic Surveys,Household Survey Indicators,education,educacion,tasa_terminacion_c,Completion rate,Tasa de terminacion escolar,Percentage of young people aged 3-5 years above upper primary/secondary school graduation age that have completed that level.,personas entre 3 y 5 años mayores que la edad teórica para el último grado del nivel i que para el año t han completado dicho nivel (primaria o secundaria).,pct
Household Socio-Economic Surveys,Household Survey Indicators,education,educacion,tasa_sobre_edad,Overage school attendance share,Tasa de sobreedad,Percentage of young people attending primary education who are two or more years older than the theoretical attendance age of their level.,"Porcentaje de estudiantes asistentes a educación primaria dos o más años mayores a la edad teórica del grado que están asistiendo, sobre el total de estudiantes de primaria.",rate
Household Socio-Economic Surveys,Household Survey Indicators,education,educacion,tasa_no_asis_edad,Unattenadance rate by age,Tasa de no asistencia escolar por grupos etarios,Share of the population of a specific age (between 4-23) out of school. ,Niños y jóvenes en un determinando rango de edad (entre 4 y 23 años) que no asisten a la escuela como porcentaje del total de niños en dicho rango de edad.,pct
Household Socio-Economic Surveys,Household Survey Indicators,education,educacion,tasa_neta_asis,Net attendance rate by education level,Tasa neta de asistencia escolar por nivel educativo,Percentage of the official education-level-age population that attends certain education_level.,"Número de estudiantes que asiste a la escuela y que tiene la edad correspondiente al nivel al cual asiste, expresado como porcentaje de la población total de ese grupo de edad.",pct
Household Socio-Economic Surveys,Household Survey Indicators,education,educacion,tasa_bruta_asis,Gross attendance rate,Tasa bruta de asistencia escolar,Total number of students attending certain educational level - regardless of age - expressed as a percentage of the official level-age population.,Número de estudiantes que asisten al nivel educativo específico dividido por la población del grupo de edad teóricamente correspondiente a ese nivel,rate
Household Socio-Economic Surveys,Household Survey Indicators,education,educacion,tasa_asis_edad,Attenadance rate by age,Tasa de asistencia escolar por grupos etarios,Share of the population of a specific age (between 4-23) that attend school. ,"Niños y jóvenes de una determinada edad (entre 4 y 23 años) que asisten a la escuela, expresado como porcentaje de todos los niños y jóvenes de dicha edad.",pct
Household Socio-Economic Surveys,Household Survey Indicators,education,educacion,Ninis_2,"Share of young people who are not in employment, education or training-NEET",Proporción de jovenes que no estudian ni trabajan - NiNis,"Share population aged between 15-24 who are not in employment or pursue one (labor inactivity as defined by the ILO), education, or training.","Jóvenes de entre 15 y 24 (15-29) años en condicion de inactividad laboral (bajo la definición de la Organización Internacional del Trabajo), y tampoco están estudiando.",pct
Household Socio-Economic Surveys,Household Survey Indicators,education,educacion,leavers,Early leavers Share,Tasa de abandono escolar temprano,Percetage of the people aged 18 to 24 who has completed at most lower secondary education and is not involved in further education or training out of the total population aged 18 to 24.,Proporción de jóvenes entre los 18-24 años que terminaron hasta secundaria baja como máximo nivel educativo logrado (9 años de educación) y no están asistiendo a ningún nivel de educación.,pct
Household Socio-Economic Surveys,Household Survey Indicators,education,educacion,Anos_Escolaridad_25_mas,Educational attainment of people aged over 25,Nivel educativo de la poblacion mayor a 25 años ,Educational attainment of people aged over 25,"Adultos (mayores de 25) que completaron un determinado nivel educativo, expresado como porcentaje de la población adulta total.",pct
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,techonp_ch,Percentage of homes with roofs made of non-permanent materials,Porcentaje de hogares con techos de materiales no permanentes,Percentage of homes with roofs made of non-permanent materials,Porcentaje de hogares con techos de materiales no permanentes .,pct
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,refrig_ch,Percentage of households with refrigerator,Porcentaje de hogares con refrigerador,Percentage of households with refrigerator,Porcentaje de hogares con refrigerador o congelador.,pct
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,parednp_ch,Percentage of homes with walls made of non-permanent materials,Porcentaje de hogares con paredes de materiales no permanentes,Percentage of homes with walls made of non-permanent materials,Porcentaje de hogares con paredes de materiales no permanentes.,pct
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,internet_ch,Percentage of households with internet access,Porcentaje de hogares con acceso a internet,Percentage of households with internet access,Porcentaje de hogares con acceso a internet.,pct
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,hacinamiento_ch,Number of members per room,Número de miembros por habitación,Number of members per room.,Número de miembros del hogar por habitación.,dispersion
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,estable_ch,Percentage of households with stable residential status (rent or own),Porcentaje de hogares con estatus residencial estable (arriendo o propio),Percentage of households with own or rental home. ,Porcentaje de hogares con vivienda propia o arrendada.,pct
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,dirtf_ch,Percentage of homes with dirt floors,Porcentaje de hogares con pisos de tierra,"
Percentage of homes with dirt floors",Porcentaje de hogares con pisos de tierra o arena.,pct
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,des2_ch,Percentage of households with access to improved sanitation services,Porcentaje de hogares con acceso a servicios de saneamiento mejorados,Percentage of households with access to improved sanitation services (the drain connected to the sewage),Porcentaje de hogares con acceso a servicios de saneamiento mejorados (el desagüe está conectado a la red general o a una cámara o fosa séptica).,pct
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,cel_ch,Percentage of households with cell phone,Porcentaje de hogares con teléfono celular,Percentage of households with cell phone,Porcentaje de hogares con teléfono celular,pct
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,auto_ch,Percentage of households with their own car,Porcentaje de hogares con carro particular,Percentage of households with their own car,Porcentaje de hogares con carro particular.,pct
Household Socio-Economic Surveys,Household Survey Indicators,housing,vivienda,aguared_ch,Percentage of households with aqueduct water service,Porcentaje de hogares con servicio de agua de acueducto,Percentage of households with aqueduct water service,Porcentaje de hogares que disponen de servicio de agua de acueducto.,pct
Household Socio-Economic Surveys,Household Survey Indicators,income,ingreso,ylmfem_ch,Percentage of household labor income contributed by women,Porcentaje del ingreso laboral del hogar contribuido por las mujeres,Percentage of total household labor income received by women. This indicator considers only the adult members of the household (18 years and older).,Porcentaje del ingreso laboral total del hogar percibido por mujeres. Este indicador considera únicamente a los miembros adultos del hogar (de 18 años en adelante) .,pct
Household Socio-Economic Surveys,Household Survey Indicators,income,ingreso,vulnerable,Vulnerable population:Percentage of the population with incomes between $ 5 and $ 12.4 per capita a day,Población vulnerable: Porcentaje de la población con ingresos entre $5 y $12.4 per capita por día,Percentage of the population with incomes between $ 5 and $ 12.4 per capita a day ($ PPP).,Porcentage de la poblacion que vive en hogares con ingresos por persona entre $5 y $12.4 per cápita por día (en $ PPP).,pct
Household Socio-Economic Surveys,Household Survey Indicators,income,ingreso,rich,Rich population:Percentage of the population with income above $ 62 per capita a day,Población rica: Porcentaje de la población con ingresos arriba de $62 per capita por día,Percentage of the population with income above $ 62 per capita a day ($ PPP).,Porcentage de la poblacion que vive en hogares con ingresos por persona mayores a $62 per cápita por día (en $ PPP).,pct
Household Socio-Economic Surveys,Household Survey Indicators,income,ingreso,pobreza31,Extreme poverty: Percentage of the population with incomes less than $ 3.1 per capita a day,Pobreza extrema: Porcentaje de la población con ingresos debajo de $3.1 per capita por día,"
Percentage of the population with incomes less than $ 3.1 per capita a day ($ PPP). ",Porcentage de la poblacion que vive en hogares con ingresos por persona inferiores a $3.1 per cápita por día (en $ PPP).,pct
Household Socio-Economic Surveys,Household Survey Indicators,income,ingreso,pobreza,Poverty: Percentage of the population with income less than $ 5.0 per capita a day,Pobreza: Porcentaje de la población con ingresos debajo de $5.0 per capita por día,Percentage of the population whose income es less than $ 5.0 per capita a day ($ PPP).,Porcentage de la poblacion que vive en hogares con ingresos por persona inferiores a $5.0 por día  (en $ PPP).,pct
Household Socio-Economic Surveys,Household Survey Indicators,income,ingreso,middle,Middle-class population:Percentage of the population with incomes between $ 12.4 and $ 62 per capita a day,Población de clase media: Porcentaje de la población con ingresos entre $12.4 y $62 per capita por día,Percentage of the population with incomes between $ 12.4 and $ 62 per capita a day ($ PPP).,Porcentage de la poblacion que vive en hogares con ingresos por persona entre $12.4 y $62 per cápita por día (en $ PPP).,pct
Household Socio-Economic Surveys,Household Survey Indicators,income,ingreso,indexrem,Percentage of households that receive remittances from abroad,Porcentaje de hogares que reciben remesas del exterior,Percentage of households that report at least one member household receives remittances (income or assets) from abroad.,Porcentaje de hogares que informan que al menos un miembro del hogar recibe remesas (ingresos o bienes) del exterior.,pct
Household Socio-Economic Surveys,Household Survey Indicators,income,ingreso,ginihh,Gini index for household per capita income,Coeficiente de Gini para el ingreso per cápita del hogar,"A Gini coefficient of 0 expresses perfect equality, where all values are the same, while it takes the value of 1 when the population experiences total inequality","El coeficiente de Gini toma un valor de 0 cuando se observa igualdad perfecta en la población estudiada. En contraste, toma el valor de 1 cuando la población presenta una desigualdad absoluta",index
Household Socio-Economic Surveys,Household Survey Indicators,income,ingreso,gini,Gini Index for wage per hour,Coeficiente de Gini para salarios por hora,Gini Index for wage per hour.,Coeficiente de Gini para los salarios por hora de la ocupación principal. ,index
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,y_pen_total,Average amount of the contributory pension plus non-contributory pension,Monto promedio de la pensión contributiva más pensión no contributiva,Indicates the average amount of the contributory pension plus the non-contributory or subsidized pension received by adults aged 65 years and over. The indicator is expressed in local currency at current values.,Indica el monto promedio de la pensión contributiva más la pensión no contributiva o subsidiada recibida por los adultos mayores de 65 años y más. El indicador es expresado en moneda local en valores corrientes.,dispersion
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,y_pen_nocont,Average amount of the non-contributory pension,Monto promedio de la pensión no contributiva,Indicates the average amount of the non-contributory or subsidized pension by the State received by adults over 65 years of age and over. The indicator is expressed in local currency at current values.,Indica el monto promedio de la pensión no contributiva o subsidiada por el Estado recibida por los adultos mayores de 65 años y más. El indicador es expresado en moneda local en valores corrientes.,dispersion
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,y_pen_cont_ppp,"Average amount of contributory pension plus non-contributory pension, PPP (constant 2011 international $)","Monto promedio de la pensión contributiva más pensión no contributiva, PPP ($ internacionales 2011 constantes)",bre,Indica el monto promedio de la pensión contributiva más la pensión no contributiva o subsidiada recibida por los adultos mayores de 65 años y más expresado en dólares internacionales usando el poder de paridad de compra (PPP). Los datos están en dólares internacionales constantes de 2011.,dispersion
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,y_pen_cont,Average amount of the contributory pension,Monto promedio de la pensión contributiva,"Indicates the average amount of the contributory pension received by adults over 65 years of age and over. In the case of Argentina, Brazil and Uruguay, the value reflected in the indicator corresponds to the total of contributory and non-contributory pensions since it is not possible to make this division from the data of the household survey. The indicator is expressed in local currency at current values.","Indica el monto promedio de la pensión contributiva recibida por los adultos mayores de 65 años y más. En el caso de Argentina, Brasil y Uruguay el valor reflejado en el indicador corresponde al total de las pensiones contributivas y no contributivas ya que no es posible hacer esta división a partir de los datos de la encuesta de hogares.  El indicador es expresado en moneda local en valores corrientes.",dispersion
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_transporte,Workers in the transport and storage sector (in%),Trabajadores en sector transporte y almacenamiento (en %),It is the percentage that results from the quotient between the total of employed persons who carry out their activities in the transport and storage sector and the total of employed persons.,Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector de transporte y almacenamiento y el total de ocupados.,pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_trabss,Workers serving in services (in%),Trabajadores que se desempeñan en servicios (en %),It is the percentage that results from the quotient between the total number of employed persons who perform in services and the total number of employed persons.,Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan en servicios y el total de ocupados.,pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_trabagricola,Workers serving as agricultural workers (in%),Trabajadores que se desempeñan como trabajadores agrícolas (en %),It is the percentage that results from the quotient between the total number of employed persons who work as agricultural workers and the total number of employed persons.,Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan como trabajadores agrícolas y el total de ocupados.,pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_sspublicos,"Workers in the electricity, gas and water sector (in%)","Trabajadores en sector de electricidad, gas y agua (en %)","It is the percentage that results from the quotient between the total of employed persons who carry out their activities in the electricity, gas and water sector and the total of employed persons.","Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector de electricidad, gas y agua y el total de ocupados.",pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_sinremuneracion,Employed without pay (in%),Ocupados sin remuneración (en %),It is the percentage that results from the quotient between the total of employed persons without remuneration (family members or non-relatives) and the total of employed persons.,Es el porcentaje que resulta del cociente entre el total de los ocupados sin remuneración (familiares o no familiares) y el total e los ocupados.,pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_servicios,Workers in the service sector (in%),Trabajadores en sector de servicios (en %),It is the percentage that results from the quotient between the total number of employed persons who carry out their activities in the service sector and the total number of employed persons.,Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector de servicios y el total de ocupados.,pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_profestecnico,Workers serving as professionals or technicians (in%),Trabajadores que se desempeñan como profesionales o técnicos (en %),It is the percentage that results from the quotient between the total number of employed persons who work as professionals or technicians and the total number of employed persons.,Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan como profesionales o técnicos y el total de ocupados.,pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_patrones,Employers in the main activity (in%),Empleados patrones (empleadores) en la actividad principal (en %),It is the percentage that results from the quotient between the number of workers who work according to occupational category as employers (or employers) in their main activity and the total number of employed persons.,Es el porcentaje que resulta del cociente entre la cantidad de trabajadores que se desempeñan según categoría ocupacional como patrones (o empleadores) en su actividad principal y el total de ocupados.,pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_participacion,Global participation rate,Tasa global de participación ,"It is the percentage that results from the quotient between the total economically active persons and the population of working age. The economically active population is established according to the homogeneous definition of the System of Labor Market and Social Security Indicators (SIMS). An economically active person is understood to be those who are employed or unemployed. The working-age population is established as the lower age limit, the age determined in the survey from which the questions in the employment section are asked.",Es el porcentaje que resulta del cociente entre el total personas economicamente activas y la población en edad de trabajar. La población económicamente activa se establece de acuerdo a la definición homogenea del Sistema de Indicadores de Mercado Laboral y Seguridad Social (SIMS). Se entiende como persona económicamente activa a aquellos que se encuentran ocupados o desocupados. La población en edad de trabajar se establece como edad limite inferior la edad determinada en la encuesta a partir de la cual se realizan las preguntas de la sección empleo.,pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_otrostrab,Workers serving in others (in%),Trabajadores que se desempeñan en otros (en %),It is the percentage that results from the quotient between the total number of employed persons who work in others and the total number of employed persons.,Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan en otros y el total de ocupados.,pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_ocupacion,Occupancy rate,Tasa de ocupación ,"It is the percentage that results from the quotient between the total employed persons and the population of working age. The employed population is established according to the homogeneous definition of the SIMS. Employed under this definition is understood to be those people who have worked at least one hour in the reference period (generally the last week or the last month if the survey asks for the week), or who, having a job, have not worked for extraordinary reasons (sick leave, strike, vacation, etc.). The working-age population is established as the lower age limit, the age determined in the survey from which the questions in the employment section are asked.","Es el porcentaje que resulta del cociente entre el total personas ocupadas y la población en edad de trabajar. La población ocupada se establece de acuerdo a la definición homogenea del SIMS. Se entiende como ocupado bajo esta definición a aquellas personas que han trabajado al menos una hora en el periodo de referencia (generalmente la última semana o el último mes si la encuesta pregunta por la semana), o que teniendo empleo no han trabajado por razones extraordinarias (licencia por enfermedad, huelga, vacaciones, etc.). La población en edad de trabajar se establece como edad limite inferior la edad determinada en la encuesta a partir de la cual se realizan las preguntas de la sección empleo.",pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_obreros,"Workers serving as non-agricultural workers, drivers of machinery and transport services (in%)","Trabajadores que se desempeñan como obreros no agricolas, conductores de maquinaria y servicios de transporte (en %)","It is the percentage that results from the quotient between the total number of employed persons who work as non-agricultural workers, drivers of machinery and transport services and the total number of employed persons.","Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan como obreros no agricolas, conductores de maquinaria y servicios de transporte y el total de ocupados.",pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_minas,Workers in the mining and quarrying sector (in%),Trabajadores en sector de explotación de minas y canteras (en %),It is the percentage that results from the quotient between the total number of employed persons who carry out their activities in the mining and quarrying sector and the total number of persons employed.,Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector de minas y canteras y el total de ocupados.,pct
Household Socio-Economic Surveys,Household Survey Indicators,labor market,mercado laboral,tasa_industria,Workers in the industrial sector (in%),Trabajadores en sector industrial (en %),It is the percentage that results from the quotient between the total number of employed persons who carry out their activities in the industrial sector and the total number of employed persons.,Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector industrial y el total de ocupados.,pct
